PER1,PER2,PER3,PER4,PER5,PER6,PER7,PER8,PER9,PER10,PER11,PER12,PER13
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.026433399,0,0
0,0,0,0,0,0,0,0,0,0,0.04572324,0,0
0,0,0,0,0,0,0,0,0.014182077,0,0.046804977,0,0
0,0,0,0,0,0,0,0.010529831,0.021919913,0,0.049986423,0.019478427,0
0,0,0.008651302,0,0,0.010265568,0,0.016452598,0.02220983,0,0.049285282,0.032863033,0
0.011430797,0,0.014600387,0,0.011563648,0.016004935,0,0.015085991,0.022837122,0,0.051836235,0.040666692,0
0.016161413,0,0.015338588,0,0.016906494,0.016716718,0.016456092,0.014493664,0.023457988,0.011823938,0.050631679,0.040566484,0
0.018575704,0,0.016558744,0,0.017994737,0.017743257,0.027417253,0.016356954,0.024218652,0.015902075,0.050216936,0.038407553,0.019188021
0.019844623,0,0.015702772,0,0.016593447,0.017643246,0.029701258,0.015620701,0.024934589,0.019442108,0.049483188,0.037479321,0.029254335
0.017182105,0,0.017007671,0,0.019354069,0.020432323,0.02872086,0.017937608,0.024869573,0.018936966,0.046854159,0.040425102,0.026778011
0.019435851,0.010282283,0.017975111,0,0.023759377,0.020670796,0.028656877,0.016080996,0.02799637,0.020213761,0.050152628,0.038342142,0.03253276
0.019926998,0.01761024,0.018739646,0.01731134,0.021429933,0.022279747,0.027307948,0.018089029,0.023278878,0.01805427,0.04794124,0.035880249,0.03157068
0.017512796,0.017598075,0.019025698,0.026519889,0.024149169,0.023594787,0.028448565,0.016947306,0.023997547,0.018058787,0.050510308,0.039294328,0.032373945
0.019272712,0.016543128,0.017019549,0.028991959,0.022559944,0.022870896,0.025395403,0.015980855,0.02562371,0.02128936,0.045728856,0.040075863,0.032113525
0.019631696,0.018044214,0.018037639,0.028884329,0.024191013,0.020645339,0.027673709,0.016594989,0.02544207,0.019300145,0.048100018,0.036533867,0.030844234
0.022813206,0.019776435,0.016054153,0.029226663,0.023992818,0.02272312,0.026671409,0.017771229,0.022910486,0.019227536,0.051567318,0.037205273,0.031844303
0.021103406,0.01903726,0.018279373,0.027047629,0.022557541,0.021065383,0.02904522,0.01974955,0.024658334,0.023492886,0.05190625,0.03689076,0.037454281
0.018815583,0.019416156,0.018601928,0.030449661,0.022862425,0.022086023,0.029551702,0.020347193,0.022171022,0.022828627,0.052143013,0.038620583,0.033993872
0.019854223,0.019958762,0.017165727,0.029154272,0.023408492,0.025141248,0.026282491,0.018210159,0.021785529,0.022791714,0.053668205,0.038305715,0.032556447
0.018863523,0.020559485,0.018478218,0.030084457,0.026442339,0.024455144,0.027644331,0.018654064,0.022750805,0.021493553,0.051933875,0.037583143,0.034535617
0.021263921,0.021747209,0.018513207,0.031366454,0.025106427,0.02411839,0.027847781,0.020213115,0.023567327,0.023552163,0.02909277,0.034407536,0.036942888
0.020272237,0.022838837,0.019583544,0.028763439,0.02424739,0.026895403,0.026205544,0.019109145,0.020852231,0.022823894,0,0.038001195,0.036246277
0.018900313,0.022569945,0.020476075,0.030519294,0.023984006,0.024927788,0.027983171,0.017261596,0.020983933,0.022497236,0,0.037078702,0.039190698
0.01999697,0.024474702,0.020908949,0.027484646,0.023225058,0.021883386,0.027094148,0.018525506,0.023874952,0.020903034,0,0.037824449,0.03890905
0.018927204,0.023921303,0.019350858,0.032315771,0.027880171,0.022874799,0.027499376,0.018494976,0.022726215,0.020491086,0,0.037183871,0.038125912
0.020907532,0.024108564,0.02083177,0.031625808,0.027439152,0.021508579,0.026846683,0.019678473,0.023710919,0.024350046,0,0.037619994,0.036143312
0.022181161,0.024428489,0.020259777,0.030064746,0.023032508,0.024974223,0.022582072,0.01793478,0.020283883,0.021479613,0,0.033512895,0.034213845
0.022147383,0.026782092,0.018983509,0.030780116,0.022324444,0.023816274,0.024701571,0.018827156,0.027278511,0.023376371,0,0.032169516,0.037913253
0.021241502,0.023777251,0.021264337,0.030565122,0.023730426,0.025122133,0.022629276,0.017299792,0.023642412,0.024651343,0,0.031742322,0.036763688
0.019325005,0.024482973,0.018660926,0.029416162,0.024034204,0.024445476,0.02148777,0.017926261,0.023285506,0.020737273,0,0.032239038,0.034668221
0.018933376,0.024664224,0.019190001,0.031137667,0.023057988,0.025360118,0.02681673,0.017184421,0.02242375,0.024446758,0,0.01960195,0.035054775
0.018397748,0.025455138,0.020089171,0.031532905,0.022801509,0.025821542,0.024071095,0.016293476,0.021972786,0.022876571,0,0,0.041258724
0.01949041,0.025230678,0.017440153,0.02780193,0.025141176,0.021290462,0.022666704,0.018102249,0.0225001,0.022707987,0,0,0.042569305
0.020616463,0.025912848,0.017963654,0.029304483,0.025089949,0.023120235,0.024081916,0.013652261,0.022025153,0.023834352,0,0,0.038139567
0.019311321,0.023874869,0.018730261,0.031188479,0.023662568,0.023158332,0.025586673,0.013760989,0.021605053,0.022194377,0,0,0.041046065
0.019889045,0.026453376,0.017800695,0.029461768,0.025813957,0.02577759,0.020608627,0.018811516,0.023078061,0.020692717,0,0,0.027774391
0.018708612,0.027430326,0.01904528,0.025496935,0.024690583,0.023061515,0.023642919,0.018772979,0.020854609,0.020768844,,0,0
0.018345753,0.027292876,0.018039628,0.02832264,0.022594083,0.023902491,0.023707844,0.016669132,0.02243898,0.018495053,,0,0
0.018984178,0.024000005,0.019670388,0.027449051,0.020934025,0.021535499,0.022497023,0.018213703,0.019975398,0.023922986,,0,0
0.020542526,0.022758318,0.019936914,0.027831074,0.019020005,0.024020153,0.018138423,0.017054091,0.020954081,0.024089355,,0,0
0.021619536,0.022723158,0.019447031,0.023696987,0.019817898,0.02414265,0.018996604,0.018037681,0.021437731,0.025397374,,0,0
0.021185691,0.02417154,0.016830509,0.029057365,0.020484576,0.020534285,0.019701832,0.01663799,0.01969641,0.021541757,,0,0
0.020071712,0.026178142,0.018360726,0.027193123,0.019121811,0.020126924,0.016094983,0.017882614,0.015100298,0.019869082,,0,0
0.018548216,0.02297599,0.016566056,0.021305539,0.015851626,0.018906795,0.019358549,0.016394673,0.014411784,0.019482843,,0,0
0.019613986,0.024406681,0.017873644,0.017583686,0.017727082,0.018098106,0.016337796,0.017514794,0.016758944,0.019282123,,0,0
0.021489698,0.022823445,0.016920659,0.01444519,0.017260278,0.019110275,0.015031627,0.016862566,0.015604034,0.015888525,,0,0
0.019507493,0.021440598,0.016663741,0.015652437,0.017926612,0.018134429,0.017361371,0.015114783,0.018415516,0.017812208,,0,0
0.018317132,0.019641098,0.015906435,0.010966984,0.01946461,0.017655931,0.011448773,0.017427737,0.011296928,0.017728264,,0,0
0.014888469,0.02024783,0.016085641,0,0.017242083,0.016654494,0,0.01792633,0,0.01839578,,,0
0.017219253,0.021391864,0.015468713,0,0.015150237,0.015117657,0,0.016984275,0,0.019128696,,,0
0.015961901,0.02127841,0.016519888,0,0.014311301,0.009565538,0,0.014830034,0,0.018446763,,,0
0.014681623,0.016289183,0.013523103,0,0.010066807,0,0,0.015279323,0,0.017556207,,,0
0.014205562,0.017605753,0.016319419,0,0,0,0,0.014387867,0,0.019074282,,,0
0.012278482,0.014334505,0.015951621,0,0,0,0,0.015908415,0,0.016811652,,,0
0.013953579,0.015430138,0.015123327,0,0,0,0,0.014799777,0,0.011837661,,,0
0.012149211,0.01216271,0.015364053,0,0,0,0,0.015024387,0,0,,,0
0.011352805,0.005868893,0.012447163,0,0,0,0,0.014467461,0,0,,,0
0.011845531,0,0.011605646,0,0,0,0,0.014497991,0,0,,,0
0.010561765,0,0.011779026,0,0,0,0,0.012465868,0,0,,,0
0.007629227,0,0.013941158,0,0,0,0,0.012441881,0,0,,,0
0.004111838,0,0.013252738,0,0,0,0,0.012599639,0,0,,,0
0,0,0.012453606,0,0,0,0,0.01362473,0,0,,,0
0,0,0.007620493,0,0,0,0,0.012053447,0,0,,,0
0,0,0,0,0,0,0,0.008147402,0,0,,,0
0,0,0,0,,,0,0,0,0,,,0
0,0,0,0,,,0,0,,0,,,0
0,0,0,0,,,,0,,0,,,0
0,0,0,0,,,,0,,0,,,0
0,,0,0,,,,0,,0,,,0
0,,0,0,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
,,0,,,,,0,,,,,0
,,0,,,,,0,,,,,0
,,0,,,,,0,,,,,0
,,0,,,,,0,,,,,
,,0,,,,,0,,,,,
,,0,,,,,0,,,,,
,,,,,,,0,,,,,
